id,createdAt,updatedAt,handle,name,slug,teamId,height,weight,number,position
203953,2021-03-26 04:41:02.446,2021-03-26 04:41:02.446,203953,Jabari Parker,jabari-parker,1610612758,6-8,245,33,F
1629610,2021-03-26 04:41:02.451,2021-03-26 04:41:02.451,1629610,DaQuan Jeffries,daquan-jeffries,1610612758,6-5,230,19,G-F
1626158,2021-03-26 04:41:02.456,2021-03-26 04:41:02.456,1626158,Richaun Holmes,richaun-holmes,1610612758,6-10,235,22,F
1629662,2021-03-26 04:41:02.461,2021-03-26 04:41:02.461,1629662,Mfiondu Kabengele,mfiondu-kabengele,1610612758,6-9,250,25,F-C
103,2021-03-26 04:41:02.467,2021-03-26 04:41:02.467,201584,Courtney Lee,courtney-lee,1610612742,6-5,215,1,G
97,2021-03-26 04:41:02.471,2021-03-26 04:41:02.471,1628395,Jordan Bell,jordan-bell,1610612739,6-8,216,5,F
1629048,2021-03-26 04:41:02.475,2021-03-26 04:41:02.475,1629048,Goga Bitadze,goga-bitadze,1610612754,6-11,250,88,C-F
203507,2021-03-26 04:41:02.48,2021-03-26 04:41:02.48,203507,Giannis Antetokounmpo,giannis-antetokounmpo,1610612749,6-11,242,34,F
1629669,2021-03-26 04:41:02.487,2021-03-26 04:41:02.487,1629669,Jaylen Nowell,jaylen-nowell,1610612750,6-4,201,4,G
200755,2021-03-26 04:41:02.492,2021-03-26 04:41:02.492,200755,JJ Redick,jj-redick,1610612740,6-3,200,4,G
1629234,2021-03-26 04:41:02.496,2021-03-26 04:41:02.496,1629234,Drew Eubanks,drew-eubanks,1610612759,6-9,245,14,F-C
200752,2021-03-26 04:41:02.501,2021-03-26 04:41:02.501,200752,Rudy Gay,rudy-gay,1610612759,6-8,250,22,F-G
456,2021-03-26 04:41:02.506,2021-03-26 04:41:02.506,203092,Tyler Zeller,tyler-zeller,1610612759,6-11,250,40,F-C
1627832,2021-03-26 04:41:02.511,2021-03-26 04:41:02.511,1627832,Fred VanVleet,fred-vanvleet,1610612761,6-1,197,23,G
462,2021-03-26 04:41:02.516,2021-03-26 04:41:02.516,1626259,Malcolm Miller,malcolm-miller,1610612761,6-7,210,13,G-F
1627783,2021-03-26 04:41:02.52,2021-03-26 04:41:02.52,1627783,Pascal Siakam,pascal-siakam,1610612761,6-9,230,43,F
203497,2021-03-26 04:41:02.525,2021-03-26 04:41:02.525,203497,Rudy Gobert,rudy-gobert,1610612762,7-1,258,27,C
475,2021-03-26 04:41:02.529,2021-03-26 04:41:02.529,1628430,Nigel Williams-Goss,nigel-williams-goss,1610612762,6-2,190,0,G
498,2021-03-26 04:41:02.534,2021-03-26 04:41:02.534,1629140,Johnathan Williams,johnathan-williams,1610612764,6-9,228,19,F
502,2021-03-26 04:41:02.538,2021-03-26 04:41:02.538,203894,Shabazz Napier,shabazz-napier,1610612764,6-0,175,5,G
