id,createdAt,updatedAt,handle,name,teamId,type,isAssistant
201682,2021-03-26 19:04:40.465,2021-03-26 19:05:45.069,201682,Octavio De La Grana,1610612748,Assistant Coach for Player Development,12
1371,2021-03-26 19:04:40.288,2021-03-26 19:05:45.246,1371,Mike Budenholzer,1610612749,Head Coach,1
203143,2021-03-26 19:04:40.718,2021-03-26 19:05:45.572,203143,Pablo Prigioni,1610612750,Assistant Coach,2
1629432,2021-03-26 19:04:40.474,2021-03-26 19:05:45.844,1629432,Todd Campbell,1610612740,Assistant Trainer,4
1627336,2021-03-26 19:04:40.069,2021-03-26 19:05:46.689,1627336,Dylan Murphy,1610612753,Assistant Coach,2
1941,2021-03-26 19:04:40.331,2021-03-26 19:05:46.898,1941,Doc Rivers,1610612755,Head Coach,1
1629410,2021-03-26 19:04:40.574,2021-03-26 19:05:47.235,1629410,David Crewe,1610612756,Trainer,3
202891,2021-03-26 19:04:40.538,2021-03-26 19:05:47.431,202891,Nate Tibbetts,1610612757,Associate Head Coach,9
1627971,2021-03-26 19:04:40.394,2021-03-26 19:05:47.792,1627971,Rico Hines,1610612758,Assistant Coach for Player Development,12
1629144,2021-03-26 19:04:40.617,2021-03-26 19:05:48.291,1629144,Sergio Scariolo,1610612761,Assistant Coach,2
1630280,2021-03-26 19:04:40.678,2021-03-26 19:05:48.622,1630280,Vince Legarza,1610612762,Assistant Coach,2
203601,2021-03-26 19:04:40.318,2021-03-26 19:05:48.926,203601,Mike Terpstra,1610612764,Assistant Coach,2
200744,2021-03-26 19:04:40.778,2021-03-26 19:05:48.945,200744,Corey Gaines,1610612764,Assistant Coach,2
